PT	AU	BA	CA	GP	RI	OI	BE	Z2	AU	AA	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	VN	VH	DI	D2	L1	L2	L3	EA	SU	DT	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	G1	NR	CR	LA	AS	AC	CG	DG	C1	C3	EC	DE	DA	UT	PM	
J	Nagiev, Hasan A.				Nagiev, Hasan/AAC-4731-2019	Nagiev, Hasan/0000-0003-4158-6434					DYNAMIC SYSTEMS WITH MULTIPLICITY OF STATIONARY STATE AND STRATEGY OF HIGHLY STEADY CONTROL								PROCEEDINGS OF THE INSTITUTE OF MATHEMATICS AND MECHANICS				35	43			117	126											Article	2011	2011	Control questions by nonlinear dynamic systems in a wide range of change of variables are considered. Multiplicity of stationary positions of industrial targets which settle down on working area of regime parameters is especially underlined. Efficiency of application of a method of phase portraits to the control in real time with use computer 3D drawings is shown.									0	0	0	0	0	0	0			2409-4986	2409-4994										NAS Azerbaijan, Inst Math & Mech, 9 F Agayev Str, AZ-1141 Baku, Azerbaijan				2011-01-01	WOS:000420930100015		
J	Nan, Xiaoya; Lv, Yuezu; Duan, Zhisheng				Duan, Zhisheng/B-4158-2012						Fully distributed observer-based protocols for bipartite consensus of directed nonlinear multi-agent systems: A proportional-integral-gain perspective								INTERNATIONAL JOURNAL OF ROBUST AND NONLINEAR CONTROL				32	18	SI		9696	9709				10.1002/rnc.5612					MAY 2021		Article	DEC 2022	2022	This paper presents a novel perspective on fully distributed adaptive protocol design for bipartite consensus under directed communication graphs. It is revealed that the fully distributed protocol is indeed a PI-gain design approach. Based on such PI-gain method, fully distributed observer-based protocols are proposed to solve the consensus problem of nonlinear multi-agent systems over directed cooperative-antagonistic networks, where the neural network approximation is introduced to tackle the unknown nonlinearity. Fully distributed continuous protocols are further presented by modifying the sign function with a decaying variable, which takes the advantage of avoiding chattering problem. Theoretical analysis and numerical simulations are given to support our main results.									9	0	0	0	0	0	9			1049-8923	1099-1239										Peking Univ, Dept Mech & Engn Sci, State Key Lab Turbulence & Complex Syst, Coll Engn, Beijing, Peoples R ChinaSoutheast Univ, Sch Math, Dept Syst Sci, Nanjing, Peoples R China				2021-06-01	WOS:000654364600001		
J	Bai, Chunguang; Zhu, Qingyun; Sarkis, Joseph				Bai, Chunguang/E-3296-2012; Sarkis, Joseph/F-4508-2014	Bai, Chunguang/0000-0002-9461-1632; Sarkis, Joseph/0000-0003-0143-804X					Joint blockchain service vendor-platform selection using social network relationships: A multi-provider multi-user decision perspective								INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS				238						108165			10.1016/j.ijpe.2021.108165					MAY 2021		Article	AUG 2021	2021	Blockchain technology has been widely touted for building and supporting supply chain management capabilities. The technology has substantial potential to enhance operational effectiveness and profitability. Blockchain platform evaluation and selection still requires investigation. Blockchain platform selection and adoption decision making in a multi-organizational supply chain context is complex. Effective blockchain adoption and operations requires consideration of multiple vendors-service providers-and platforms while satisfying multiple users and stakeholders. This study introduces a managerial decision support method to assist organizations evaluate and select joint blockchain service vendor and platforms for multiple organizational functions and organizations. Using literature and practice, we introduce blockchain service vendor and platform attributes from user, vendor, and platform perspectives. A social network theory lens sets the foundation for an innovative group decision-making method-a DEMATEL-based hierarchical best-worst method-integrating characteristics from this decision environment. The technological and distributed network nature of blockchain technology requires evaluation by decision makers from various levels of a supply chain network. These decision makers will likely have varying blockchain technology knowledge and subjective preferences that need integration. The proposed method helps to operationalize social network relationships to comprehend partial and idiosyncratic expert opinions about blockchain technology. An illustrative example and various scenarios are presented to identify managerial and research implications. Methodological limitations and future research are presented for this emergent managerial and technological concern across supply chains.									48	2	0	0	0	0	50			0925-5273	1873-7579										Univ Elect Sci & Technol China, Sch Management & Econ, 2006 Xiyuan Ave, Chengdu 611731, Peoples R ChinaUniv Alabama, Coll Business, 301 Sparkman Dr, Huntsville, AL 35899 USAWorcester Polytech Inst, Foisie Business Sch, 100 Inst Rd, Worcester, MA 01609 USAHumlog Inst, Hanken Sch Econ, Helsinki 00100, Finland				2021-06-23	WOS:000658952300007		
J	Petkovic, Ivan; Neta, Beny					Petkovic, Ivan/0000-0002-9239-7599					On an application of symbolic computation and computer graphics to root-finders: The case of multiple roots of unknown multiplicity								JOURNAL OF COMPUTATIONAL AND APPLIED MATHEMATICS				308				215	230				10.1016/j.cam.2016.06.008							Article	DEC 15 2016	2016	The contemporary powerful mathematical software enables a new approach to handling and manipulating complex mathematical expressions and other mathematical objects. Particularly, the use of symbolic computation leads to new contribution to constructing and analyzing numerical algorithms for solving very difficult problems in applied mathematics and other scientific disciplines. In this paper we are concerned with the problem of determining multiple zeros when the multiplicity is not known in advance, a task that is seldom considered in literature. By the use of computer algebra system Mathematica, we employ symbolic computation through several programs to construct and investigate algorithms which both determine a sought zero and its multiplicity. Applying a recurrent formula for generating iterative methods of higher order for solving nonlinear equations, we construct iterative methods that serve (i) for approximating a multiple zero of a given function f when the order of multiplicity is unknown and, simultaneously, (ii) for finding exact order of multiplicity. In particular, we state useful cubically convergent iterative sequences that find the exact multiplicity in a few iteration steps. Such approach, combined with a rapidly convergent method for multiple zeros, provides the construction of efficient composite algorithms for finding multiple zeros of very high accuracy. The properties of the proposed algorithms are illustrated by several numerical examples and basins of attraction. (C) 2016 Elsevier B.V. All rights reserved.									11	0	0	0	0	0	11			0377-0427	1879-1778										Univ Nis, Fac Elect Engn, Nish 18000, SerbiaNaval Postgrad Sch, Dept Appl Math, Monterey, CA 93943 USA				2016-09-28	WOS:000381546600015		
J	Kumar, M. Dinesh				; Kumar, M/HTP-4538-2023	Kumar, M. Dinesh/0000-0001-7746-0417; 					Water management in India: the multiplicity of views and solutions								INTERNATIONAL JOURNAL OF WATER RESOURCES DEVELOPMENT				34	1	SI		1	15				10.1080/07900627.2017.1351333							Article	2018	2018	There is very limited scientific evidence to support some of the ideas in the water sector that guide India's government policies in these sectors. Further, the interdisciplinary perspective required for the design of economic instruments, institutions, and laws and regulations to implement existing policies is lacking in social scientists. This article discusses the growing debate on water management options for India, the tone and tenor of policy debate and the inconsistency. It summarizes 10 scholarly articles from various authors which reflect the multiplicity of views on water issues and solutions for water management in the country.									14	0	0	0	1	0	15			0790-0627	1360-0648										Inst Resource Anal & Policy, Hyderabad, Andhra Pradesh, India	Inst Resource Anal & Policy			2019-10-23	WOS:000417690200001		
J	Asghari, Alexandra; Dazeley, Steven; Bernstein, Adam					dazeley, steven/0000-0002-7395-8119					A Plutonium Mass Uncertainty Assessment Using a Cherenkov-Based Neutron Multiplicity Water Detector								IEEE TRANSACTIONS ON NUCLEAR SCIENCE				67	11			2431	2438				10.1109/TNS.2020.3027668							Article	NOV 2020	2020	We present a new analysis of the sensitivity of a water Cherenkov-based neutron multiplicity counter for nondestructive assay of trace quantities of Pu-240. The multiplicity counter [water-based neutron detector (WaND)] contains 1.0 m(3) of water doped with 0.2% gadolinium in the form of a gadolinium salt (0.4% GdCl3). It can be used for testing the presence of trace quantities of Pu-240 within a sample of unknown material by observing the correlated timing behavior of neutron capture candidates in the detector. The new analysis takes advantage of the fact that the detector is comprised almost entirely of a homogeneous medium, which permits the use of a simple model to reproduce the observed neutron capture timing behavior. The results of this analysis indicate that the detector has an absolute neutron detection efficiency of 23.4 +/- 1.1% and is sensitive to a Pu-240 mass as small as 2.3 mg (at 1 sigma) after a 1-h data acquisition.									1	1	0	0	0	0	2			0018-9499	1558-1578										Univ Calif Berkeley, Dept Nucl Engn, Berkeley, CA 94720 USAExponent, Menlo Pk, CA 94025 USALawrence Livermore Natl Lab, Nucl & Chem Sci Div, Livermore, CA 94550 USA				2020-12-18	WOS:000591857900017		
J	Xu, Pengpeng; Wang, Yishan; Yao, Haona; Hou, Huiying (Cynthia)				; Hou, Cynthia/AAV-2722-2021; xu, pengpeng/AAE-6567-2022	Hou, Cynthia/0000-0002-4215-2673; 					An exploratory analysis of low-carbon transitions in China's construction industry based on multi-level perspective								SUSTAINABLE CITIES AND SOCIETY				92						104460			10.1016/j.scs.2023.104460					FEB 2023		Article	MAY 2023	2023	Climate change caused by carbon emissions is a concern for many countries. As the world's largest carbon emitter, China's construction industry generates substantial carbon emissions. However, previous research has primarily focused on promoting low-carbon building products or calculating carbon emissions to propose low-carbon transition measures. There has been limited research on low-carbon transitions in the construction in-dustry from an industry system perspective. This study aimed to identify the driving factors and their in-terrelationships for low-carbon transitions in the construction industry. A multi-level perspective (MLP) was presented as a heuristic structure to analyze driving factors. An integrated interpretative structural model (ISM) and cross-impact matrix multiplication applied to classification (MICMAC) technique was adopted to explore the interactions among factors. The results demonstrate that a six-level hierarchy of 22 drivers was constructed, and relationship degrees between the factors were discovered. The strongest drivers were low-carbon legal regula -tion, followed by industrial structure and organizational characteristics connected to industrial development. Improving these fundamental factors will increase the probability of successful transitions. The results also demonstrate that transitions are a collaborative process that involves multiple stakeholders. These findings can provide suggestions for low-carbon practices in the construction industry.									22	0	0	0	2	0	23			2210-6707	2210-6715										Chongqing Univ, Sch Management Sci & Real Estate, Chongqing 400045, Peoples R ChinaHong Kong Polytech Univ, Dept Bldg Environm & Energy Engn, Hong Kong 999077, Peoples R China				2023-03-28	WOS:000948886700001		
J	Ding, Huan-Huan; Gao, Fan; Lu, Chang-Bing; Li, Rui; Li, Chen-Guang; Mo, Zhao-Hong; Shi, Dun-Fu; Su, Ming; Zhao, De-Shan; Shuai, Mao-Bing; Xiong, Zhong-Hua; Xia, Bin-Yuan; Bai, Yun				Li, Chenguang/C-7501-2009; ding, huan/MCJ-4550-2025						Gamma ray multiplicity of a <SUP>240</SUP>Pu solid sphere simulated by JMCT								NUCLEAR SCIENCE AND TECHNIQUES				33	5					53			10.1007/s41365-022-01043-9							Article	MAY 2022	2022	Determining the mass of plutonium metal is an important research objective in the field of nuclear material accounting and control. Based on the 3D neutron and photon transport code JMCT (Jointed Monte Carlo Transport), the gamma ray multiplicity of Pu-240 was simulated in this study, and the average number of gamma rays leaking from Pu-240 solid spheres with different masses was also obtained. The simulation results show that there is a one-to-one correspondence between the average number of gamma rays and the mass of Pu-240 solid spheres in the range of 0.50-3.00 kg. This result provides a basis for using the average number of gamma rays to account for the mass of Pu-240.									4	3	0	0	0	0	7			1001-8042	2210-3147										China Acad Engn Phys, Inst Mat, Mianyang 621908, Sichuan, Peoples R ChinaPLA, Unit 93147, Mianyang 621000, Sichuan, Peoples R ChinaCAEP Software Ctr High Performance Numer Simulat, Beijing 100088, Peoples R ChinaInst Appl Phys & Computat Math, Beijing 100088, Peoples R China	PLACAEP Software Ctr High Performance Numer Simulat			2022-06-24	WOS:000811779500008		
J	Lansbury, Russell D.										The changing world of work and employment relations: a multi-level institutional perspective of the future								LABOUR & INDUSTRY-A JOURNAL OF THE SOCIAL AND ECONOMIC RELATIONS OF WORK				28	1			5	20				10.1080/10301763.2018.1427425							Article	2018	2018	The social and economic relevance of work and employment relations is as great today as it has been in the past and is likely to be of even greater importance in the future. Yet, as a field of academic study, traditional approaches to work and employment relations face a number of challenges, particularly in an era of globalization. Understanding the changing nature of work and employment relations has significant implications for economic prosperity and social harmony in all societies. How workers engage in new forms of employment, such as the 'shared economy', and exercise influence over their employment conditions are challenges which face not only employers but also governments and society at large. As the world of work becomes increasingly affected by global as well as local factors, a multi-level perspective is needed which takes into account the interaction between national, sectoral and transnational spheres of work and employment relations.									11	0	0	0	0	0	12			1030-1763	2325-5676										Univ Sydney, Business Sch, Work & Organisat Studies, Sydney, NSW, Australia				2018-04-20	WOS:000429356400003		
J	Yang, Zhi; Guan, Fada; Bronk, Lawrence; Zhao, Lina				Zhao, Lina/GVR-7716-2022						Multi-omics approaches for biomarker discovery in predicting the response of esophageal cancer to neoadjuvant therapy: A multidimensional perspective								PHARMACOLOGY & THERAPEUTICS				254						108591			10.1016/j.pharmthera.2024.108591					FEB 2024		Review	FEB 2024	2024	Neoadjuvant chemoradiotherapy (NCRT) followed by surgery has been established as the standard treatment strategy for operable locally advanced esophageal cancer (EC). However, achieving pathologic complete response (pCR) or near pCR to NCRT is significantly associated with a considerable improvement in survival outcomes, while pCR patients may help organ preservation for patients by active surveillance to avoid planned surgery. Thus, there is an urgent need for improved biomarkers to predict EC chemoradiation response in research and clinical settings. Advances in multiple high -throughput technologies such as next -generation sequencing have facilitated the discovery of novel predictive biomarkers, specifically based on multi-omics data, including genomic/transcriptomic sequencings and proteomic/metabolomic mass spectra. The application of multi-omics data has shown the benefits in improving the understanding of underlying mechanisms of NCRT sensitivity/resistance in EC. Particularly, the prominent development of artificial intelligence (AI) has introduced a new direction in cancer research. The integration of multi-omics data has significantly advanced our knowledge of the disease and enabled the identification of valuable biomarkers for predicting treatment response from diverse dimension levels, especially with rapid advances in biotechnological and AI methodologies. Herein, we summarize the current status of research on the use of multi-omics technologies in predicting NCRT response for EC patients. Current limitations, challenges, and future perspectives of these multi-omics platforms will be addressed to assist in experimental designs and clinical use for further integrated analysis. (c) 2024 Elsevier Inc. All rights reserved.									18	1	0	0	7	0	19			0163-7258	1879-016X										Fourth Mil Med Univ, Xijing Hosp, Dept Radiat Oncol, 15 West Changle Rd, Xian, Peoples R ChinaYale Univ, Sch Med, Dept Therapeut Radiol, New Haven, CT 06510 USAUniv Texas MD Anderson Canc Ctr, Dept Radiat Oncol, Houston, TX 77030 USA				2024-03-21	WOS:001175989600001	38286161	
J	FAUGERAS, OD; MAYBANK, S										MOTION FROM POINT MATCHES - MULTIPLICITY OF SOLUTIONS								INTERNATIONAL JOURNAL OF COMPUTER VISION				4	3			225	246				10.1007/BF00054997							Article	JUN 1990	1990										165	10	0	0	0	0	188			0920-5691											INST NATL RECH INFORMAT & AUTOMAT,F-06561 VALBONNE,FRANCEHIRST RES CTR,WEMBLEY HA9 7PP,MIDDX,ENGLAND	INST NATL RECH INFORMAT & AUTOMATHIRST RES CTR			1990-06-01	WOS:A1990DJ37900004		
J	Hafidouni, M.										Correction of measured multiplicity distributions by the microcanonical algorithm								INTERNATIONAL JOURNAL OF MODERN PHYSICS C				25	3					1350094			10.1142/S0129183113500940							Article	MAR 2014	2014	Correction of observed multiplicity distributions by a method based on the maximum entropy principle reduces to a combinatorial optimization problem, where one has to determine a combination of parameters which would minimize a given (cost) function. We use a stochastic algorithm, i.e. an annealed version of the microcanonical algorithm to minimize this function. This algorithm yields results which are compatible with those from simulated annealing method.									0	0	0	0	0	0	0			0129-1831	1793-6586														2014-03-26	WOS:000332032800001		
J	Gai, E. V.; Ignatyuk, A. V.										Uncertainties and Covariances of the Fission Cross Sections and the Fission Neutron Multiplicities for Actinides								NUCLEAR DATA SHEETS				109	12	SI		2890	2893				10.1016/j.nds.2008.11.029							Article; Proceedings Paper	DEC 2008	2008	Experimental data on the fission cross sections and the fission-neutron multiplicities of actinides are analyzed on the basis of the unrecognized error-estimation method. Such an approach allows its to estimate reasonable systematic uncertainties of available data, which are underestimated by authors of most measurements as a rule. The corresponding uncertainties and covariances of evaluated data are obtained for the most important actinides in the 15-energy group representation. Differences between the present evaluations and the recent BOLNA results are discussed for the main actinides. It is shown that the fission cross section uncertainties axe overestimated essentially in the BOLNA analysis for minor actinides. Uncertainties of the cross sections and the neutron multiplicities averaged over the Cf-252 fission-neutron spectrum are considered.					Workshop on Neutron Cross Section ConvariancesWorkshop on Neutron Cross Section Convariances	JUN 24-28, 2008JUN 24-28, 2008		Long Isl, NYLong Isl, NY	5	0	0	0	0	0	5			0090-3752	1095-9904										Inst Phys & Power Engn, Obninsk 239033, Russia	Inst Phys & Power Engn			2008-12-01	WOS:000261918400030		
J	Popovski, Petar; Fitzek, Frank H. P.; Prasad, Ramjee				Popovski, Petar/B-2453-2013	Popovski, Petar/0000-0001-6195-4797					A class of algorithms for collision resolution with multiplicity estimation								ALGORITHMICA				49	4			286	317				10.1007/s00453-007-9082-x							Article; Proceedings Paper	DEC 2007	2007	The wireless connectivity in pervasive computing has ephemeral character and can be used for creating ad hoc networks, sensor networks, connection with RFID (Radio Frequency Identification) tags etc. The communication tasks in such wireless networks often involve an inquiry over a shared channel, which can be invoked for: discovery of neighboring devices in ad hoc networks, counting the number of RFID tags that have a certain property, estimating the mean value contained in a group of sensors etc. Such an inquiry solicits replies from possibly large number of terminals n. This necessitates the usage of algorithms for resolving batch collisions (conflicts) with unknown conflict multiplicity n. In this paper we present a novel approach to the problem of collision resolution for batch conflicts. We show how the conventional tree algorithms for collision resolution can be used to obtain progressively accurate estimation of the multiplicity. We use the estimation to propose a more efficient binary tree algorithm, termed Estimating Binary Tree (EBT) algorithm. The EBT algorithm is suited for implementation when the conflicting nodes are passive, such as e.g. RFID tags. We extend the approach to design the Interval Estimation Conflict Resolution (IECR) algorithm. For n -> infinity we prove that the efficiency achieved by IECR for batch arrivals is identical with the efficiency that Gallager's FCFS algorithm achieves for Poisson packet arrivals. For finite n, the simulation results show that IECR is, to the best of our knowledge, the most efficient batch resolution algorithm reported to date.					Joint Meeting on Foundations of Mobile Computing/ACM MobiCom 2004Joint Meeting on Foundations of Mobile Computing/ACM MobiCom 2004	OCT 01, 2004OCT 01, 2004	ACMACM	Philadelphia, PAPhiladelphia, PA	9	0	0	0	0	0	9			0178-4617	1432-0541										Aalborg Univ, CTIF, DK-9220 Aalborg, Denmark				2007-12-01	WOS:000251455500003		
J	Marussy, Kristof; Semerath, Oszkar; Varro, Daniel				Semeráth, Oszkár/AAD-2125-2022; Marussy, Kristof/AAE-9008-2022; Varro, Daniel/AAC-4234-2022; Varro, Daniel/C-5447-2015; Marussy, Kristóf/AAE-9008-2022	Marussy, Kristof/0000-0002-9135-8256; Varro, Daniel/0000-0002-8790-252X; Semerath, Oszkar/0000-0002-3592-5105; 					Automated Generation of Consistent Graph Models With Multiplicity Reasoning								IEEE TRANSACTIONS ON SOFTWARE ENGINEERING				48	5			1610	1629				10.1109/TSE.2020.3025732							Article	MAY 1 2022	2022	Advanced tools used in model-based systems engineering (MBSE) frequently represent their models as graphs. In order to test those tools, the automated generation of well-formed (or intentionally malformed) graph models is necessitated which is often carried out by solver-based model generation techniques. In many model generation scenarios, one needs more refined control over the generated unit tests to focus on the more relevant models. Type scopes allow to precisely define the required number of newly generated elements, thus one can avoid the generation of unrealistic and highly symmetric models having only a single type of elements. In this paper, we propose a 3-valued scoped partial modeling formalism, which innovatively extends partial graph models with predicate abstraction and counter abstraction. As a result, well-formedness constraints and multiplicity requirements can be evaluated in an approximated way on incomplete (unfinished) models by using advanced graph query engines with numerical solvers (e.g., IP or LP solvers). Based on the refinement of 3-valued scoped partial models, we propose an efficient model generation algorithm that generates models that are both well-formed and satisfy the scope requirements. We show that the proposed approach scales significantly better than existing SAT-solver techniques or the original graph solver without multiplicity reasoning. We illustrate our approach in a complex design-space exploration case study of collaborating satellites introduced by researchers at NASA JPL.									5	0	0	0	0	0	5			0098-5589	1939-3520										Budapest Univ Technol & Econ, H-1111 Budapest, HungaryMcGill Univ, Montreal, PQ H3A 0G4, Canada				2022-05-29	WOS:000797454000010		
J	Tsang, Eric C. C.; Fan, Bingjiao; Chen, Degang; Xu, Weihua; Li, Wentao				Xu, Weihua/GYJ-6124-2022; Li, Wentao/AAG-9521-2019	Li, Wentao/0000-0002-7777-0818; Xu, Weihua/0000-0001-7202-2573					Multi-level cognitive concept learning method oriented to data sets with fuzziness: a perspective from features								SOFT COMPUTING				24	5			3753	3770				10.1007/s00500-019-04144-7							Article	MAR 2020	2020	As a new interdisciplinary field induced by formal concept analysis, rough set, granular computing and cognitive computing, cognitive concept learning has received a great attention in recent years. Cognitive concept learning refers to the acquisition of specific concepts through specific cognitive concept learning approaches. The processes of concept learning mainly focus on simulating human brain recognizing concepts through the modeling of brain intelligence. In this paper, we investigate the mechanism of multi-level cognitive concept learning method oriented to data sets with fuzziness by discussing the process of human cognition. Through a newly defined fuzzy focal feature set, we put forward a corresponding structure of feature-oriented multi-level cognitive concept learning method in data sets with fuzziness from a perspective of philosophical and psychological views of human cognition. To make the presented cognitive concept learning approach much easier to understand and to apply it to practice widely, we establish an algorithm to recognize fuzzy concepts and incomplete fuzzy concepts. In addition, we present a case study about how to recognize and distinguish any two different micro-expressions from an information system with quantitative description to use our proposed method and theory to solve conceptual cognition problems, and also we perform an experimental evaluation on five data sets downloaded from the University of California-Irvine databases. Compared with the existing granular computing approach to two-way learning, we obtain more concepts than the two-way learning approach, which shows the feasibility and effectiveness of our feature-oriented multi-level cognitive learning method in data sets with fuzziness.									19	3	0	0	1	0	22			1432-7643	1433-7479										Macau Univ Sci & Technol, Fac Informat Technol, Taipa, Macau, Peoples R ChinaNorth China Elect Power Univ, Dept Math & Phys, Beijing 102206, Peoples R ChinaSouthwest Univ, Sch Math & Stat, Chongqing 400715, Peoples R ChinaHarbin Inst Technol, Dept Math, Harbin 150001, Peoples R China				2020-03-23	WOS:000518603800042		
J	Belenky, AS										Calculating the minimal number of homogeneous objects to represent a plurality in a heterogeneous system of objects								MATHEMATICAL AND COMPUTER MODELLING				39	2-3			119	121				10.1016/S0895-7177(04)90000-3							Article	JAN 2004	2004	Formulae for calculating the minimal number of homogeneous objects to constitute a plurality of objects within a finite heterogeneous system are presented. Such a system is searched for among all systems that can be formed by groups of available types of homogeneous objects and consist of one and the same total number of objects grouped into one and the same number of groups of homogeneous objects. (C) 2004 Elsevier Ltd. All rights reserved.									1	0	0	0	0	0	1			0895-7177	1872-9479										NISTRAMAN Consulting, Brookline, MA 02446 USA	NISTRAMAN Consulting			2004-01-01	WOS:000189387300001		
J	Liu, Liwei; Tan, Zhebin; Wei, Yuxiao; Sun, Qianhui					Liu, Liwei/0000-0003-2164-1061					A multi-perspective deep learning framework for enhancer characterization and identification								COMPUTATIONAL BIOLOGY AND CHEMISTRY				114						108284			10.1016/j.compbiolchem.2024.108284					NOV 2024		Article	FEB 2025	2025	Enhancers are vital elements in the genome that boost the transcriptional activity of neighboring genes and are essential in regulating cell-specific gene expression. Therefore, accurately identifying and characterizing enhancers is essential for comprehending gene regulatory networks and the development of related diseases. This study introduces MPDL-Enhancer, a novel multi-perspective deep learning framework aimed at enhancer characterization and identification. In this study, enhancer sequences are encoded using the dna2vec model along with features derived from the structural properties of DNA sequences. Subsequently, these representations are processed through a novel dual-scale deep neural network designed to discern subtle correlations and extended interactions embedded within the semantic content of DNA. The predictive phase of our methodology employs a Support Vector Machine classifier to render the final classification. To rigorously assess the efficacy of our approach, a comprehensive evaluation was executed utilizing an independent test dataset, thereby substantiating the robustness and accuracy of our model. Our methodology demonstrated superior performance over existing computational techniques, with an accuracy (ACC) of 81.00 %, a sensitivity (SN) of 79.00 %, and specificity (SP) of 83.00 %. The innovative dual-scale deep neural network and the unique feature representation strategy contributed to this performance improvement. MPDL-Enhancer has effectively characterized enhancer sequences and achieved excellent predictive performance. Building upon this foundation, we conducted an interpretability analysis of the model, which can assist researchers in identifying key features and patterns that affect the functionality of enhancers, thereby promoting a deeper understanding of gene regulatory networks.									1	0	0	0	1	0	1			1476-9271	1476-928X										Dalian Jiaotong Univ, Coll Sci, Dalian 116028, Peoples R ChinaDalian Jiaotong Univ, Coll Software, Dalian 116028, Peoples R China				2024-12-03	WOS:001364227100001	39577030	
J	FELSENTHAL, DS; MAOZ, Z; RAPOPORT, A				Maoz, Zeev/A-9844-2008						THE CONDORCET-EFFICIENCY OF SOPHISTICATED VOTING UNDER THE PLURALITY AND APPROVAL PROCEDURES								BEHAVIORAL SCIENCE				35	1			24	33				10.1002/bs.3830350104							Article	JAN 1990	1990										15	0	0	0	0	0	15			0005-7940															1990-01-01	WOS:A1990CC69100003		
J	Walker, Daniel M.; Hefner, Jennifer L.; Sieck, Cynthia J.; Huerta, Timothy R.; McAlearney, Ann Scheck				Hefner, Jennifer L/P-5962-2014; McAlearney, Ann/J-3008-2013; Sieck, Cynthia/E-4158-2013; Hefner, Jennifer/P-5962-2014; Huerta, Timothy/C-1748-2014	Hefner, Jennifer L/0000-0001-8083-8038; 					Framework for Evaluating and Implementing Inpatient Portals: a Multi-stakeholder Perspective								JOURNAL OF MEDICAL SYSTEMS				42	9					158			10.1007/s10916-018-1009-3							Article	SEP 2018	2018	Inpatient portals are emerging as an important tool to support patient care and are increasingly being adopted in hospitals. However, best practices concerning the implementation, use, and impact of these portals are poorly understood. To improve evaluation and implementation efforts, this paper develops a logic model that can help researchers and hospital managers in deploying and assessing the impact of inpatient portals. Guided by the Systems Engineering Initiative for Patient Safety (SEIPS) framework, we held a series of two focus groups (n = 12 and n = 8, respectively) and an online forum (n = 14) including hospital administrators, clinicians, patients, and information technology team members to learn from these stakeholders about the system-wide implementation and evaluation of an inpatient portal at an academic medical center in the United States. These sessions were supplemented with a Nominal Group process to assess the relative importance and feasibility of evaluation areas. Our Logic Model highlights that patients are at the center of the multi-stakeholder context within which inpatient portals are being implemented, and that collaborative work is necessary for successful implementation and evaluation of the tool. The Model also identifies priority areas for evaluation, and it suggests measures and data sources applicable for quality improvement and research. Applying the SEIPS 2.0 framework, this Logic Model captures the multiple relevant stakeholder perspectives by describing the organizational structures, processes, and outcomes that pertain to inpatient portals. This Model provides specific evaluation suggestions for hospital managers seeking to implement inpatient portals as well as for researchers seeking to evaluate this new technology.									15	0	0	0	0	0	18			0148-5598	1573-689X										Ohio State Univ, Coll Med, Dept Family Med, Columbus, OH 43210 USAOhio State Univ, Coll Med, Ctr Adv Team Sci Analyt & Syst Thinking, CATALYST, 460 Med Ctr Dr,Ste 530, Columbus, OH 43210 USAOhio State Univ, Coll Med, Dept Biomed Informat, Columbus, OH 43210 USAOhio State Univ, Coll Publ Hlth, Div Hlth Serv Management & Policy, Columbus, OH 43210 USA				2018-07-30	WOS:000439048500001	30014267	
J	Masin, Michael; Raviv, Tal				Raviv, Tal/K-2981-2013; Raviv, Tal/K-4218-2012	Raviv, Tal/0000-0002-5960-2386; 					Linear programming-based algorithms for the minimum makespan high multiplicity jobshop problem								JOURNAL OF SCHEDULING				17	4			321	338				10.1007/s10951-014-0376-y							Article	AUG 2014	2014	We study a generalized version of the minimum makespan jobshop problem in which multiple instances of each job are to be processed. The system starts with specified inventory levels in all buffers and finishes with some desired inventory levels of the buffers at the end of the planning horizon. A schedule that minimizes the completion time of all the operations is sought. We develop a polynomial time asymptotic approximation procedure for the problem. That is, the ratio between the value of the delivered solution and the optimal one converge into one, as the multiplicity of the problem increases. Our algorithm uses the solution of the linear relaxation of a time-indexed Mixed-Integer formulation of the problem. In addition, a heuristic method inspired by this approximation algorithm is presented and is numerically shown to out-perform known methods for a large set of standard test problems of moderate job multiplicity.									11	0	0	0	0	0	11			1094-6136	1099-1425										IBM Res Haifa, IL-31905 Haifa, IsraelTel Aviv Univ, Dept Ind Engn, IL-69978 Tel Aviv, Israel	IBM Res Haifa			2014-08-07	WOS:000338666700002		
